"Comune";"Area_provenienza";"Paese_provenienza";"MeasuresLevel";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Abbadia San Salvatore";"Unione Europea";"Croazia";"Arrivi";"1.0";"";"41.0";"";"";"";"";"1.0";"";"";"1.0";"3.0";"2.0";"1.0"
"Abbadia San Salvatore";"Unione Europea";"Danimarca";"Arrivi";"11.0";"23.0";"9.0";"2.0";"4.0";"2.0";"2.0";"3.0";"32.0";"16.0";"35.0";"52.0";"31.0";"4.0"
"Abbadia San Salvatore";"Unione Europea";"Estonia";"Arrivi";"";"";"2.0";"";"";"";"";"";"2.0";"";"2.0";"";"";"4.0"
"Abbadia San Salvatore";"Unione Europea";"Finlandia";"Arrivi";"8.0";"4.0";"";"9.0";"";"";"";"2.0";"0.0";"";"";"1.0";"1.0";"6.0"
"Abbadia San Salvatore";"Unione Europea";"Francia";"Arrivi";"101.0";"84.0";"97.0";"39.0";"48.0";"24.0";"23.0";"24.0";"53.0";"60.0";"60.0";"116.0";"71.0";"83.0"
"Abbadia San Salvatore";"Unione Europea";"Germania";"Arrivi";"135.0";"242.0";"215.0";"122.0";"71.0";"66.0";"84.0";"84.0";"85.0";"76.0";"67.0";"122.0";"111.0";"143.0"
"Abbadia San Salvatore";"Unione Europea";"Grecia";"Arrivi";"5.0";"3.0";"1.0";"1.0";"2.0";"";"22.0";"2.0";"";"2.0";"";"4.0";"3.0";""
"Abbadia San Salvatore";"Unione Europea";"Irlanda";"Arrivi";"10.0";"4.0";"5.0";"1.0";"3.0";"2.0";"12.0";"2.0";"7.0";"";"1.0";"";"4.0";"5.0"
"Abbadia San Salvatore";"Unione Europea";"Lettonia";"Arrivi";"";"1.0";"";"";"";"";"";"";"";"";"1.0";"";"";"2.0"
"Abbadia San Salvatore";"Unione Europea";"Lituania";"Arrivi";"7.0";"7.0";"";"";"";"";"";"";"";"";"";"1.0";"";"5.0"
"Abbadia San Salvatore";"Unione Europea";"Lussemburgo";"Arrivi";"";"";"2.0";"";"5.0";"";"";"";"";"";"1.0";"";"1.0";"1.0"
"Abbadia San Salvatore";"Unione Europea";"Malta";"Arrivi";"";"";"5.0";"";"";"";"2.0";"";"";"";"";"";"6.0";"1.0"
"Abbadia San Salvatore";"Unione Europea";"Paesi Bassi";"Arrivi";"325.0";"205.0";"325.0";"370.0";"408.0";"347.0";"203.0";"106.0";"147.0";"141.0";"60.0";"22.0";"75.0";"85.0"
"Abbadia San Salvatore";"Unione Europea";"Portogallo";"Arrivi";"1.0";"";"6.0";"";"";"";"";"";"";"";"6.0";"";"2.0";"2.0"
"Abbadia San Salvatore";"Unione Europea";"Regno Unito";"Arrivi";"182.0";"134.0";"87.0";"55.0";"38.0";"61.0";"13.0";"71.0";"37.0";"103.0";"57.0";"30.0";"43.0";"52.0"
"Abbadia San Salvatore";"Unione Europea";"Romania";"Arrivi";"20.0";"21.0";"32.0";"64.0";"64.0";"213.0";"59.0";"35.0";"36.0";"30.0";"37.0";"10.0";"11.0";"30.0"
"Abbadia San Salvatore";"Unione Europea";"Spagna";"Arrivi";"29.0";"44.0";"61.0";"23.0";"18.0";"8.0";"34.0";"24.0";"58.0";"27.0";"17.0";"19.0";"46.0";"42.0"
"Abbadia San Salvatore";"Unione Europea";"Svezia";"Arrivi";"13.0";"28.0";"8.0";"23.0";"5.0";"4.0";"7.0";"";"6.0";"4.0";"7.0";"11.0";"19.0";"30.0"
"Abetone";"Italia";"Abruzzo";"Arrivi";"80.0";"106.0";"142.0";"179.0";"163.0";"139.0";"109.0";"122.0";"157.0";"87.0";"107.0";"80.0";"";""
"Abetone";"Italia";"Basilicata";"Arrivi";"63.0";"44.0";"103.0";"53.0";"40.0";"38.0";"17.0";"43.0";"54.0";"23.0";"42.0";"35.0";"";""
"Abetone";"Italia";"Bolzano-Bozen";"Arrivi";"47.0";"43.0";"46.0";"83.0";"107.0";"148.0";"194.0";"122.0";"135.0";"144.0";"141.0";"146.0";"";""
"Abetone";"Italia";"Calabria";"Arrivi";"90.0";"167.0";"163.0";"87.0";"73.0";"83.0";"113.0";"157.0";"90.0";"53.0";"97.0";"68.0";"";""
"Abetone";"Italia";"Campania";"Arrivi";"769.0";"520.0";"701.0";"804.0";"537.0";"631.0";"634.0";"445.0";"441.0";"391.0";"390.0";"395.0";"";""
"Abetone";"Italia";"Emilia-Romagna";"Arrivi";"665.0";"747.0";"889.0";"780.0";"901.0";"721.0";"1025.0";"1182.0";"1189.0";"915.0";"1128.0";"958.0";"";""
"Abetone";"Italia";"Friuli-V. Giulia";"Arrivi";"118.0";"73.0";"65.0";"98.0";"57.0";"56.0";"86.0";"52.0";"61.0";"98.0";"58.0";"78.0";"";""
"Abetone";"Italia";"Lazio";"Arrivi";"4131.0";"4283.0";"3901.0";"3995.0";"3727.0";"3659.0";"3730.0";"2851.0";"2651.0";"2276.0";"2372.0";"2416.0";"";""
